Venda 9474,00155f2e-a6d5-11ee-86cb-f3fdd870ece4,{2e157830-b064-11ee-b494-1b4a6fc75156},819.50,819.7500000000000000,823.2500000000000000,1
Venda 5498,006a44ee-afbd-11ee-89ad-2327de08da95,{3d2b51de-afef-11ee-aa0e-4f8c10d5c3cb},777.61,762.5400000000000000,732.0000000000000000,1
Venda 455,00743162-a963-11ee-b3c3-2bf96d49a276,{ec14bfe0-b068-11ee-ab46-9fe32d2ee7e1},640.50,640.9000000000000000,644.4000000000000000,1
Venda 10517,008a4a4e-7d97-11ee-9b37-5f2493015460,{008f43b4-7d97-11ee-9b39-c3686446e92d},8476.50,8473.0000000000000000,8476.5000000000000000,1
Venda 13384,00e67fce-aeef-11ee-9767-5f3744b1ec48,{0becdc04-b059-11ee-8765-e36b663f7d2d},2019.10,2031.1000000000000000,2046.6000000000000000,1
Venda 8479,021f1720-ae1d-11ee-995f-93e302a02059,{fc5b7222-b063-11ee-a142-6373aa1ee0b9},181.50,181.8300000000000000,185.3300000000000000,1
Venda 33,032545fa-a5b1-11ee-bf3d-9b52b6bf3d73,{ac1159e2-b065-11ee-8747-67f13fd32c6f},2778.49,2757.0600000000000000,2739.1300000000000000,1
Venda 1365,03a09a6a-ab25-11ee-8ce3-877dc177fcf7,{a95179e8-afe9-11ee-a1f0-93c7392ea7e8},595.50,595.8100000000000000,1986.0000000000000000,1
Venda 22720,03e3af50-aa4c-11ee-9b49-d31f44c0386d,{091bc178-b06f-11ee-aedd-cf401e3b28fa},1538.06,1474.8300000000000000,1415.1000000000000000,1
Venda 3300,03e94ed4-ac0d-11ee-ac38-bbf1183bc01a,{03f172a8-ac0d-11ee-ac3a-875ac0a03da1},8160.92,8907.5400000000000000,7416.8000000000000000,1
Venda 582,03fed820-baf5-11ee-965b-232ba9632064,{04062e18-baf5-11ee-965d-6f114f5a4a19},16084.00,17559.7800000000000000,14611.7200000000000000,1
"Venda 9079, Venda 9150, Venda 9306",05778856-b180-11ee-bf60-0be5d183e86d,"{175b13bc-baf9-11ee-8978-a3f45f64c3c2,175abd0e-baf9-11ee-8977-8fbd715d2acb,175a5436-baf9-11ee-8976-9b098afe8ea0}",2092.32,2092.3100000000000000,698.0000000000000000,3
Venda 239,06860ca2-a584-11ee-873a-e356dd99136b,{a1c43670-b061-11ee-a266-f7082856361d},888.50,888.5900000000000000,892.0900000000000000,1
Venda 3629,06b8756e-9f4b-11ee-a85d-4b8c6b4d8aa3,{b69ccb78-b06d-11ee-b5e7-635b4ce73aec},1240.96,1396.5100000000000000,1555.5600000000000000,1
Venda 23231,0712f09e-9446-11ee-b292-5f817123015b,{071a49c0-9446-11ee-b294-433f17ac3cf4},2756.50,2786.5000000000000000,2790.0000000000000000,1
CONDOMÍNIO 01/2024,085eebcc-9dc6-11ee-a273-97dbab079d79,{c4c34b30-b06a-11ee-88e8-d740f9fc3919},628.12,663.2100000000000000,701.8000000000000000,1
Venda 2922,08a1157a-afa9-11ee-af47-d37212b48958,{c8604a0e-b060-11ee-9b27-83739ae1301d},1504.00,1654.0000000000000000,1807.0000000000000000,1
Venda 7308,0922531a-aa2c-11ee-9c66-8321ec4a7524,{52a311e4-b05a-11ee-a127-2364c527d86e},1174.71,1219.2400000000000000,1267.2700000000000000,1
Venda 1934,095a0c84-78e4-11ee-b593-7f73cdf901f2,{095f5446-78e4-11ee-b595-efc51874fbf0},61.50,71.5000000000000000,85.0000000000000000,1
Venda 10312,0a163b18-afec-11ee-a4cb-6783540f7290,{7d6f62f4-afee-11ee-9c83-cb76711695dc},377.89,360.0700000000000000,344.7500000000000000,1
Venda 14,0a618550-b708-11ee-a8db-6357bd22f17c,{0a687748-b708-11ee-a8dd-93f6e28b12c4},125.54,128.0800000000000000,125.0000000000000000,1
Venda 116,0b7182d4-abdb-11ee-a21b-f356e572827f,{0b79cdf4-abdb-11ee-a21d-1b8d042e4cda},97.89,99.2800000000000000,100.0000000000000000,1
Venda 22538,0c450104-7f3a-11ee-8b81-b7b6290d1f59,{0c4b7ade-7f3a-11ee-8b83-cf1734dca97f},2272.36,1696.5000000000000000,2275.8600000000000000,1
"Venda 923, Venda 924, Venda 925",0cacab4a-b178-11ee-abe5-07df66f7c211,"{fc8cbc74-b446-11ee-9f65-0b14e857fb31,fc8d6d40-b446-11ee-9f66-773ecefc810d,fc8dd334-b446-11ee-9f67-83e5f0eecc22}",4436.49,4436.5000000000000000,1480.0000000000000000,3
Venda 5474,0d889962-afbf-11ee-be21-d7c009dfbc84,{bcf61734-b065-11ee-b638-a39e0911e719},2605.09,2466.5800000000000000,2263.0000000000000000,1
CONDOMÍNIO 01/2024,0dcf9484-9dc7-11ee-a45d-6ba05c9f9ecc,{8f96ca40-b06a-11ee-9696-677b16c4edc0},628.12,663.2100000000000000,701.8000000000000000,1
Venda 8249,0e3940c0-a685-11ee-95db-97d0598160ca,{cd4a859a-b059-11ee-b690-5b3a33d04062},575.62,605.3100000000000000,638.5000000000000000,1
Venda 7,0e736496-ae35-11ee-be73-8b377102e8ae,{3c93ff46-b06c-11ee-8a89-8ba08c816c03},2096.77,2019.9100000000000000,1946.5500000000000000,1
Venda 1032,0e97fd92-800e-11ee-87bc-5f6d082e7f5b,{0e9bcad0-800e-11ee-87be-eb3c877b1537},10896.59,11134.6800000000000000,10662.0000000000000000,1
Venda 5207,0ef848c4-a867-11ee-a490-bb1d5e4a31ea,{f8c0678a-afeb-11ee-90bb-dfa82b6d6760},369.50,369.8300000000000000,371.3300000000000000,1
